material_id,e_ij_max,band_gap,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,space_group,atomic_positions,atomic_elements
mp-22988,0.6347444111609024,,5.461891123863339,5.461891123863339,5.461891073079682,89.54623144876582,89.54623144876582,89.54621700859916,160,"[array([7.78333021e+00, 1.21624903e-16, 5.48124387e+00]), array([4.01898165e+00, 4.48430311e-17, 2.83028189e+00]), array([ 5.62454748, -1.73847421,  2.73334579]), array([3.89079974e+00, 3.24241237e-17, 5.19525551e+00]), array([5.62454748, 1.73847421, 2.73334579])]","['Cs', 'Ge', 'Cl', 'Cl', 'Cl']"
mp-11714,0.06423169544702993,,3.07569427,3.0756940293466246,10.07064648,90.0,90.0,119.99999194062038,186,"[array([1.53784884, 0.88787557, 9.44467503]), array([-1.20784697e-06,  1.77575381e+00,  4.40935179e+00]), array([0.        , 0.        , 6.92754112]), array([0.        , 0.        , 1.89221788]), array([1.53784884, 0.88787557, 7.55099681]), array([-1.20784697e-06,  1.77575381e+00,  2.51567357e+00]), array([0.        , 0.        , 5.03995624]), array([0.      , 0.      , 0.004633])]","['Si', 'Si', 'Si', 'Si', 'C', 'C', 'C', 'C']"
mp-1018100,0.10574158268275771,,4.361820560001969,4.36181759827258,7.175696500000142,90.00003741925075,89.9999786683398,120.00009817074879,186,"[array([2.1809081 , 1.25914326, 3.5905626 ]), array([-1.00628663e-06,  2.51829911e+00,  2.71334738e-03]), array([2.18091066, 1.25914666, 6.27673766]), array([3.73362385e-06, 2.51829118e+00, 2.68888840e+00])]","['Al', 'Al', 'Sb', 'Sb']"
mp-696125,0.9665875600792718,,7.039448,7.039448,10.381355,90.0,90.0,90.0,105,"[array([1.61086504, 1.86537629, 3.08892027]), array([5.42858296, 5.17407171, 3.08892027]), array([1.86537629, 5.42858296, 8.27959777]), array([5.17407171, 1.61086504, 8.27959777]), array([1.61086504, 5.17407171, 3.08892027]), array([5.42858296, 1.86537629, 3.08892027]), array([1.86537629, 1.61086504, 8.27959777]), array([5.17407171, 5.42858296, 8.27959777]), array([0.        , 0.        , 9.65432795]), array([0.        , 0.        , 4.46365045]), array([3.519724  , 3.519724  , 5.84472363]), array([3.519724  , 3.519724  , 0.65404613]), array([1.69899893, 4.92701525, 0.45851331]), array([5.34044907, 2.11243275, 0.45851331]), array([2.11243275, 1.69899893, 5.64919081]), array([4.92701525, 5.34044907, 5.64919081]), array([2.11243275, 5.34044907, 5.64919081]), array([4.92701525, 1.69899893, 5.64919081]), array([1.69899893, 2.11243275, 0.45851331]), array([5.34044907, 4.92701525, 0.45851331]), array([3.519724  , 3.519724  , 8.40043675]), array([3.519724  , 3.519724  , 3.20975925]), array([0.        , 0.        , 7.05648729]), array([0.        , 0.        , 1.86580979]), array([0.       , 3.519724 , 5.1280364]), array([ 3.519724 ,  0.       , 10.3187139]), array([0.        , 4.83100422, 4.25811   ]), array([0.        , 2.20844378, 4.25811   ]), array([2.20844378, 0.        , 9.4487875 ]), array([4.83100422, 0.        , 9.4487875 ]), array([3.519724  , 1.31665131, 0.75885629]), array([3.519724  , 5.72279669, 0.75885629]), array([1.31665131, 3.519724  , 5.94953379]), array([5.72279669, 3.519724  , 5.94953379]), array([0.        , 5.76980612, 0.95667301]), array([0.        , 1.26964188, 0.95667301]), array([1.26964188, 0.        , 6.14735051]), array([5.76980612, 0.        , 6.14735051]), array([3.519724  , 2.19084516, 4.21258776]), array([3.519724  , 4.84860284, 4.21258776]), array([2.19084516, 3.519724  , 9.40326526]), array([4.84860284, 3.519724  , 9.40326526]), array([0.        , 1.24915709, 7.97727195]), array([0.        , 5.79029091, 7.97727195]), array([5.79029091, 0.        , 2.78659445]), array([1.24915709, 0.        , 2.78659445]), array([3.519724  , 4.84691337, 7.39800273]), array([3.519724  , 2.19253463, 7.39800273]), array([4.84691337, 3.519724  , 2.20732523]), array([2.19253463, 3.519724  , 2.20732523])]","['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Si', 'Si', 'P', 'P', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
mp-11607,0.024996203118625496,,5.61902743122215,5.61902743122215,5.61902743122215,109.47122063449069,109.47122063449069,109.47122063449069,220,"[array([ 1.62207350e+00,  2.43311025e+00, -2.22044605e-16]), array([2.22044605e-16, 1.62207350e+00, 2.43311025e+00]), array([-4.4408921e-16,  4.8662205e+00,  8.1103675e-01]), array([2.43311025, 0.        , 1.6220735 ]), array([0.81103675, 0.        , 4.8662205 ]), array([4.86622050e+00, 8.11036750e-01, 2.22044605e-16]), array([-1.41850328,  1.82564372,  1.41850328]), array([-0.20357022,  0.20357022,  3.44771722]), array([3.04057678, 3.04057678, 3.04057678]), array([ 3.44771722, -0.20357022,  0.20357022]), array([1.41850328, 1.41850328, 1.41850328]), array([ 1.82564372,  1.41850328, -1.41850328]), array([ 0.20357022,  3.44771722, -0.20357022]), array([ 1.41850328, -1.41850328,  1.82564372])]","['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
mp-754726,1.3511076186966007,,4.768898151592042,4.768898151592042,6.152385,90.0,90.0,90.04156004843965,40,"[array([3.51212747, 3.13607892, 4.61428875]), array([ 3.51212747, -3.13607892,  1.53809625]), array([3.24681428e+00, 2.65554236e-17, 3.07619250e+00]), array([3.24681428e+00, 2.65554236e-17, 0.00000000e+00]), array([ 1.29913022e+00, -6.04671076e-18,  3.07619250e+00]), array([ 1.29913022e+00, -6.04671076e-18,  0.00000000e+00]), array([ 3.38407047, -1.21065232,  1.53809625]), array([3.38407047, 1.21065232, 4.61428875]), array([ 3.35560998, -1.39820682,  4.61428875]), array([3.35560998, 1.39820682, 1.53809625]), array([5.42761610e+00, 1.63583767e-16, 3.07619250e+00]), array([5.42761610e+00, 1.63583767e-16, 0.00000000e+00])]","['Fe', 'Fe', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'F', 'F', 'F', 'F']"
mp-763784,0.5711367446332777,,5.305909968845778,5.305909968845778,4.51251954610282,89.23469905292995,89.23469905292995,116.09796724039396,5,"[array([-4.4578947,  2.807856 ,  0.       ]), array([-1.60995788,  2.864803  ,  2.255541  ]), array([1.51601771, 2.864803  , 2.255541  ]), array([2.8835977 , 2.01207995, 1.21582682]), array([1.47675067, 1.04980802, 3.37580055]), array([1.47675067, 4.67979798, 1.13528145]), array([0.12218615, 3.65991164, 3.26411518]), array([2.8835977 , 3.71752605, 3.29525518]), array([0.12218615, 2.06969436, 1.24696682])]","['Li', 'Mn', 'Mn', 'F', 'F', 'F', 'F', 'F', 'F']"
mp-6449,1.133975799080386,,6.284403,6.495382,7.660702,90.0,90.0,90.0,31,"[array([0.79713881, 4.22845471, 0.        ]), array([3.93934031, 2.26692729, 3.830351  ]), array([0.81589776, 1.14071249, 5.73211261]), array([3.95809926, 5.35466951, 5.75894039]), array([0.81589776, 1.14071249, 1.92858939]), array([3.95809926, 5.35466951, 1.90176161]), array([0.77174354, 4.42460875, 3.830351  ]), array([3.91394504, 2.07077325, 0.        ]), array([0.21696273, 2.33466113, 3.830351  ]), array([2.92515707, 4.61081187, 3.830351  ]), array([6.06735857, 1.88457013, 0.        ]), array([3.11300416, 1.03235003, 1.71496305]), array([3.11300416, 1.03235003, 5.94573895]), array([6.25520566, 5.46303197, 5.54531405]), array([3.35916423, 4.16072087, 0.        ]), array([6.25520566, 5.46303197, 2.11538795])]","['Cd', 'Cd', 'Cu', 'Cu', 'Cu', 'Cu', 'Si', 'Si', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-34116,0.6504950000000002,,7.117905425328578,7.117905425328578,7.117905425328578,110.4343884098133,110.4343884098133,107.56159676882562,122,"[array([ 2.0302655 , -1.07852576,  3.15435   ]), array([2.98200524, 2.0302655 , 1.05145   ]), array([ 2.0302655 ,  5.13905676, -1.05145   ]), array([1.07852576, 2.0302655 , 5.25725   ]), array([4.4408921e-16, 4.0605310e+00, 2.1029000e+00]), array([0., 0., 0.]), array([5.64896606, 0.53376086, 0.54071868]), array([ 1.588431  , -0.5337568 ,  5.76797712]), array([ 0.5337568 ,  2.4721    , -0.54072288]), array([0.53376086, 1.58843506, 2.64361868]), array([2.4721    , 4.5942878 , 1.56217712]), array([3.5267742 , 1.588431  , 3.66507712]), array([-1.58843506,  3.52677014,  4.74652709]), array([ 3.52677014,  2.47209594, -1.56217291])]","['Tm', 'Tm', 'Tm', 'Tm', 'Mg', 'Mg', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-613733,0.22910274733916303,,4.50638,7.201107624508955,7.843273753758503,65.68098842709436,78.06687997394462,79.86112976111421,1,"[array([4.93755281, 3.29193631, 2.40398667]), array([2.4669234 , 6.78898829, 4.64284373]), array([3.88449108, 2.99164296, 7.05184781]), array([4.91583059, 4.53645951, 6.1366565 ]), array([2.48947324, 5.54892433, 0.90260537]), array([4.74098966, 9.12210027, 4.96569696]), array([2.65845084, 0.96602776, 2.08138784]), array([5.71585779, 5.22704199, 6.79700534]), array([2.71924505, 5.23345059, 2.10313235]), array([4.7636287 , 4.78923569, 4.91278792]), array([1.61747201, 4.92592362, 0.27705338])]","['K', 'K', 'Pd', 'N', 'N', 'Cl', 'Cl', 'O', 'O', 'O', 'O']"
mp-1023936,0.21274719978414988,,3.31793734,3.317937846204694,16.65814242,90.0,90.0,120.0000260060297,187,"[array([-2.68563585e-06,  1.91561276e+00,  3.57895192e+00]), array([1.65896982, 0.95780494, 5.24120999]), array([1.65896982, 0.95780494, 1.91671052])]","['W', 'Se', 'Se']"
mp-550506,0.453040667710969,,4.529572446804224,4.529572446804224,4.529572643726999,80.01503014214549,80.01503014214549,80.0150256354775,160,"[array([7.81666577e+00, 1.20522281e-16, 4.33020690e+00]), array([3.89562584e+00, 9.82646578e-17, 2.15806412e+00]), array([4.73095928, 1.21171274, 1.82105852]), array([ 3.71394061e+00, -2.71446030e-17,  3.65692810e+00]), array([ 4.73095928, -1.21171274,  1.82105852])]","['K', 'Cl', 'O', 'O', 'O']"
mp-752644,1.0224155096307197,,5.035039,5.528540472058064,6.226561551282537,89.42983268323732,89.79101670752426,89.17834279766781,1,"[array([2.59767515, 3.68202913, 1.52505533]), array([2.60834657, 3.75017959, 4.70395524]), array([0.06835921, 1.90029587, 4.69079302]), array([0.12972579, 4.61616918, 0.03603733]), array([2.53285018, 0.94451147, 3.07286747]), array([2.49672833, 0.97125223, 6.2021071 ]), array([0.11917731, 4.63138808, 3.13496774]), array([3.11965287, 4.93127444, 6.21983936]), array([0.88408222, 0.97472868, 6.1020954 ]), array([2.93754146, 1.71041109, 1.36866526]), array([0.66348438, 3.90870439, 1.7953789 ]), array([0.66866369, 0.63870542, 3.23995418]), array([3.47749475, 4.73677127, 3.11800753]), array([0.57549831, 3.78424203, 4.46935146]), array([3.07283726, 1.75309831, 4.8031513 ])]","['Li', 'Li', 'Li', 'Fe', 'Fe', 'Si', 'Si', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
mp-16934,0.28688,,5.881196,7.341882,9.92758,90.0,90.0,90.0,19,"[array([0.07910797, 0.6069387 , 9.12816162]), array([2.86149003, 6.7349433 , 4.16437162]), array([3.01970597, 3.0640023 , 0.79941838]), array([5.80208803, 4.2778797 , 5.76320838]), array([3.01638309, 1.86248863, 6.93061237]), array([2.86481291, 5.53342963, 7.96075763]), array([5.80541091, 5.47939337, 1.96682237]), array([0.07578509, 1.80845237, 2.99696763]), array([0.11085466, 3.86517783, 9.09614518]), array([3.05145266, 7.14764517, 0.83143483]), array([5.77034134, 0.19423683, 5.79522483]), array([2.82974334, 3.47670417, 4.13235518]), array([4.46436295, 3.60227238, 8.20802387]), array([1.52376495, 0.06866862, 1.71955613]), array([1.41683305, 7.27321338, 6.68334613]), array([4.35743105, 3.73960962, 3.24423387]), array([0.75526907, 5.47559762, 9.45101645]), array([3.69586707, 5.53722538, 0.47656355]), array([5.12592693, 1.80465662, 5.44035355]), array([2.18532893, 1.86628438, 4.48722645]), array([1.4114047 , 3.18635476, 8.07535169]), array([4.3520027 , 0.48458624, 1.85222831]), array([4.4697913 , 6.85729576, 6.81601831]), array([1.5291933 , 4.15552724, 3.11156169]), array([2.90586366, 4.31202679, 5.71136656]), array([5.84646166, 6.70079621, 4.21621344]), array([2.97533234, 0.64108579, 9.18000344]), array([0.03473434, 3.02985521, 0.74757656])]","['Ba', 'Ba', 'Ba', 'Ba', 'La', 'La', 'La', 'La', 'Al', 'Al', 'Al', 'Al', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
mp-648932,0.02008,,7.49220854,13.06050131,14.30092519,90.0,90.0,90.0,18,"[array([ 7.06214678, 11.96668028,  3.59591272]), array([6.97056944, 2.71918462, 3.54258243]), array([ 0.43006176,  7.62407169, 10.74637532]), array([0.43006176, 5.43642962, 3.55454987]), array([ 0.5216391 ,  3.81106604, 10.69304502]), array([ 6.97056944, 10.34131669, 10.75834276]), array([ 7.06214678,  1.09382103, 10.70501247]), array([0.5216391 , 9.24943527, 3.60788017]), array([4.78719992, 0.7287398 , 2.14869685]), array([2.70500862, 5.80151086, 9.29915944]), array([2.70500862, 7.25899045, 5.00176575]), array([ 4.78719992, 12.33176151, 12.15222834]), array([6.09809336, 4.55490965, 5.0309598 ]), array([6.47538795, 7.38939707, 2.68142061]), array([0.83980435, 7.35382197, 1.8477273 ]), array([6.65240419, 0.82357131, 5.3027353 ]), array([3.9600825 , 5.60795188, 7.60693926]), array([6.24928553, 2.90456864, 9.15804249]), array([ 6.24928553, 10.15593267,  5.1428827 ]), array([1.01682059, 0.85914642, 4.46904198]), array([ 4.38779665, 10.61325644, 11.18846897]), array([ 4.48178925,  0.98860341, 11.16973519]), array([ 6.47538795,  5.67110424, 11.61950458]), array([6.78962481, 0.78261084, 1.71649229]), array([ 6.78962481, 12.27789047, 12.5844329 ]), array([0.70258373, 5.74763982, 8.86695488]), array([0.70258373, 7.31286149, 5.43397031]), array([ 3.53212604, 12.13820253, 13.84444852]), array([6.09809336, 8.50559166, 9.26996539]), array([1.24292301, 3.62568202, 2.0075799 ]), array([ 6.65240419, 12.23693   ,  8.99818989]), array([3.10441189, 8.97749552, 4.03800638]), array([0.45911977, 3.90066447, 5.52476817]), array([ 7.03308877, 10.43091513,  1.62569442]), array([ 3.10441189,  4.08300579, 10.26291881]), array([6.86937832, 4.29122113, 1.58259329]), array([ 4.48178925, 12.0718979 ,  3.13119   ]), array([ 3.01041929,  7.51885407, 10.2816526 ]), array([3.53212604, 0.92229878, 0.45647667]), array([ 0.83980435,  5.70667934, 12.45319789]), array([ 6.86937832,  8.76928018, 12.7183319 ]), array([ 1.24292301,  9.43481929, 12.29334529]), array([0.62283022, 2.23902952, 8.73305589]), array([3.01041929, 5.54164724, 4.01927259]), array([0.45911977, 9.15983684, 8.77615702]), array([3.9600825 , 7.45254943, 6.69398593]), array([ 1.01682059, 12.20135489,  9.83188321]), array([ 1.39411518, 11.0851603 ,  2.1195028 ]), array([ 0.62283022, 10.82147179,  5.5678693 ]), array([4.38779665, 2.44724487, 3.11245622]), array([ 1.39411518,  1.97534101, 12.18142239]), array([ 7.03308877,  2.62958618, 12.67523077])]","['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'P', 'P', 'P', 'P', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-4452,0.1664137122629342,,5.591164849618755,5.59116359148018,6.465953318291563,115.6170479129996,115.61705625948869,89.99999637056247,82,"[array([0., 0., 0.]), array([0.40020815, 3.67131337, 0.84915925]), array([ 1.9671108 ,  2.46563205, -2.38363028]), array([ 3.40986326,  4.24008947, -2.37304265]), array([2.81288949, 0.6105055 , 2.98797137]), array([-0.00848554,  2.90462756,  2.96245152]), array([ 1.56756134,  1.9987639 , -0.18074033])]","['Cd', 'Ga', 'Ga', 'S', 'S', 'S', 'S']"
mp-556163,0.4389399999999999,,5.992438212474284,5.992438212474284,5.992438212474284,107.3901146742746,107.3901146742746,113.71876829724161,122,"[array([1.7740095 , 2.42866868, 4.09505   ]), array([1.7740095 , 1.11935032, 0.81901   ]), array([ 1.11935032,  5.3220285 , -0.81901   ]), array([ 2.42866868, -1.7740095 ,  2.45703   ]), array([0.     , 0.     , 3.27604]), array([0.      , 3.548019, 1.63802 ]), array([0.08798378, 2.17546075, 0.71731517]), array([-1.37255825,  3.46003522,  2.55872483]), array([3.46003522, 2.17546075, 0.92070483]), array([ 2.17546075,  3.63600278, -0.92070483]), array([ 1.37255825, -0.08798378,  2.35533517]), array([1.37255825, 3.63600278, 2.55872483]), array([-0.08798378,  4.92057725,  0.71731517]), array([0.08798378, 1.37255825, 4.19674483])]","['Zn', 'Zn', 'Zn', 'Zn', 'Si', 'Si', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
mp-13305,0.44717999999999997,,4.799482609624695,4.799482790274,4.7994828,59.99999993296497,59.99999868786598,59.999992140014264,216,"[array([2.77098288, 1.95938054, 4.7994828 ]), array([0., 0., 0.]), array([1.38549144, 0.97969027, 2.3997414 ])]","['Sm', 'Sn', 'Au']"
